IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
162.159.10.190,45,47,46,0
162.159.0.88,45,47,46,0
162.159.9.57,44,48,46,0
198.41.211.2,46,47,46,0
108.162.192.119,45,47,46,0
162.159.17.46,45,47,46,0
162.159.32.204,45,47,46,0
172.64.49.239,46,48,46,0
162.159.34.218,46,48,46,0
172.64.42.235,46,47,46,0
162.159.11.72,46,47,47,0
172.64.158.174,45,48,47,0
162.159.7.35,45,48,47,0
162.159.19.73,46,48,47,0
104.18.36.13,45,48,47,0
172.64.154.22,46,48,47,0
104.18.39.225,45,48,47,0
172.64.156.36,46,48,47,0
162.159.62.81,46,48,47,0
104.18.40.137,46,47,46,10
162.159.14.146,45,48,46,10
104.18.44.96,45,48,46,10
162.159.61.38,45,48,47,10
162.159.35.222,45,48,47,10
162.159.58.161,46,47,47,10
162.159.13.197,46,48,47,10
162.159.8.6,45,49,47,10
104.18.35.243,46,48,47,10
8.35.211.85,46,47,47,10
104.18.32.7,46,48,47,10
172.64.146.97,46,49,47,10
172.64.151.157,46,53,47,10
104.18.46.45,46,50,48,10
162.159.48.74,45,47,46,20
108.162.194.17,45,47,46,20
162.159.43.92,46,47,46,20
108.162.196.136,45,48,46,20
172.64.155.166,46,47,47,20
172.64.149.64,46,48,47,20
162.159.3.174,46,48,47,20
162.159.2.127,46,47,47,20
172.64.147.188,45,48,47,20
108.162.193.244,46,48,47,20
172.64.50.155,46,47,47,20
172.64.34.183,46,48,47,20
162.159.12.110,46,49,48,20
198.41.223.67,46,48,47,30
162.159.46.78,46,48,47,30
172.64.150.143,45,48,47,30
172.64.157.137,45,48,47,30
172.64.228.49,46,48,47,30
162.159.15.224,45,49,47,30
198.41.222.92,46,48,47,30
162.159.18.229,45,47,47,30
1.0.0.184,45,48,47,30
104.18.33.67,46,48,47,30
8.39.125.166,45,49,47,30
1.1.1.144,46,48,47,30
162.159.6.6,46,48,47,30
172.64.144.49,46,49,47,30
172.64.153.82,46,49,47,30
172.64.148.154,46,48,47,30
104.18.38.7,46,49,47,30
162.159.42.157,46,49,48,30
172.64.33.211,45,47,46,40
172.64.145.229,46,48,46,40
162.159.5.162,46,48,47,40
162.159.1.173,46,48,47,40
104.18.34.75,46,48,47,40
104.18.45.192,46,48,47,40
162.159.22.152,46,49,47,40
172.64.35.8,47,49,48,40
162.159.40.186,46,48,47,50
104.18.41.140,46,48,47,50
162.159.27.71,47,48,47,50
172.64.41.10,46,48,47,50
173.245.58.224,47,48,48,50
162.159.49.202,47,49,48,50
172.64.152.118,45,50,48,50
172.64.32.228,47,49,48,50
162.159.26.226,46,48,48,50
104.18.42.120,47,49,48,50
172.64.40.38,47,49,48,50
172.64.48.33,46,49,48,50
104.18.47.162,46,51,48,50
104.18.43.133,47,49,48,50
162.159.21.208,47,49,48,50
108.162.195.148,47,49,48,50
162.159.16.5,47,49,48,50
162.159.41.212,47,49,48,50
162.159.36.60,47,50,48,50
172.64.38.122,47,49,48,50
172.64.159.130,46,49,48,50
162.159.20.105,47,49,48,50
162.159.25.66,46,50,48,50
162.159.23.252,47,49,48,50
162.159.24.176,46,49,48,50
173.245.59.196,47,49,48,50
104.18.37.220,47,51,48,50
162.159.60.169,47,49,49,50
162.159.33.44,47,49,49,50
162.159.4.224,46,49,47,60
